Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:16,05-03-2024 12:43:16,0.290s,PASSED
"verifyTextPresent(""Received Data"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:16,05-03-2024 12:43:16,0.279s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC04.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:16,05-03-2024 12:43:17,0.304s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:17,05-03-2024 12:43:17,0.107s,PASSED
,,,,,,,
Test Cases/TC05,Chrome 118.0.0.0,,,05-03-2024 12:43:17,05-03-2024 12:43:20,3.414s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:17,05-03-2024 12:43:17,0.614s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:17,05-03-2024 12:43:17,0.063s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""johnjohnjohnjoh"")",Chrome 118.0.0.0,,,05-03-2024 12:43:17,05-03-2024 12:43:18,0.593s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_last-name""), ""canoncan"")",Chrome 118.0.0.0,,,05-03-2024 12:43:18,05-03-2024 12:43:19,0.544s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_age""), ""75"")",Chrome 118.0.0.0,,,05-03-2024 12:43:19,05-03-2024 12:43:19,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:19,05-03-2024 12:43:19,0.309s,PASSED
"verifyTextPresent(""Received Data"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:19,05-03-2024 12:43:20,0.280s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC05.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:20,05-03-2024 12:43:20,0.335s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:20,05-03-2024 12:43:20,0.076s,PASSED
,,,,,,,
Test Cases/TC06,Chrome 118.0.0.0,,,05-03-2024 12:43:20,05-03-2024 12:43:24,3.379s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:20,05-03-2024 12:43:21,0.577s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:21,05-03-2024 12:43:21,0.066s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""john"")",Chrome 118.0.0.0,,,05-03-2024 12:43:21,05-03-2024 12:43:21,0.573s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_last-name""), ""cannoncan"")",Chrome 118.0.0.0,,,05-03-2024 12:43:21,05-03-2024 12:43:22,0.574s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_age""), ""75"")",Chrome 118.0.0.0,,,05-03-2024 12:43:22,05-03-2024 12:43:23,0.561s,PASSED
